username,text,tweetcreatedts,hashtags,retweetcount,likecount,acctdesc,location,followers,totaltweets,usercreatedts
ManUtd,"Goal. Ndombele equalises.

#MUFC #MUNTOT",2020-10-04 15:34:55,"['MUFC', 'MUNTOT']",602,4981,Official #MUFC account. @ManUtd_ES 🇪🇸 | @ManUtd_ID 🇮🇩 | @ManUtd_JP 🇯🇵 | @ManUtd_MY 🇲🇾 | @ManUtd_AR مانشستر يونايتد,"Manchester, England",23299562,61792,2012-04-20 15:17:43
eijoaovictor7,"YESSSSS  BRUUUNNOOOOO!!!

#MUFC #MUNTOT https://t.co/6DEYJOBoBg",2020-10-04 15:34:55,"['MUFC', 'MUNTOT']",1828,0,"Perfil dedicado ao Flamengo, mas de vez em quando eu tbm falo merda sobre outros times. viúva do CR7 e sofro pelo Houston rockets e GSW nas hrs vagas. bem vindo","Rio de Janeiro, Brasil",579,19624,2017-10-25 20:31:57
Kerrie1611,"1 - We're underway at Old Trafford.

𝗖𝗢𝗠𝗘 𝗢𝗡 𝗬𝗢𝗨 𝗦𝗣𝗨𝗥𝗦! 

🔴 #MUFC 0-0 #THFC ⚪",2020-10-04 15:34:54,"['MUFC', 'THFC']",92,0,21🥂 triplet💁🏻‍♀️ thfc⚽️,United Kingdom,1337,23576,2013-07-08 08:26:38
karim254,Game on! #MUNTOT,2020-10-04 15:34:54,['MUNTOT'],0,0,Opinions & typos my own. RTs mean interesting.,Middle Earth,3050,27128,2009-04-09 09:29:55
syafiqahparis,Go spurs go #MUNTOT,2020-10-04 15:34:54,['MUNTOT'],0,0,A pluviophile #YNWA,Malaysia,612,70228,2013-01-27 16:05:42
Kojo_Atlas,Maguire is dumb!!!! #MUNTOT,2020-10-04 15:34:54,['MUNTOT'],0,2,Life is too short. Don’t waste it reading my bio….,🌎,1190,3879,2017-06-01 12:43:46
nk21888,"There were only 30 second difference between last man utd penalties..

#Mufc
#MUNTOT",2020-10-04 15:34:54,"['Mufc', 'MUNTOT']",0,0,,"Bandar Petaling Jaya, Selangor",28,199,2014-07-08 13:20:38
ShonOsimbo,"Penalty 

Bruno Fernandes Takes It 🙈🙈

Seems Like The Standard Procedure 

Man United 1-0 Tottenham 

#MUNTOT #Mourinho",2020-10-04 15:34:54,"['MUNTOT', 'Mourinho']",0,3,Ardent Sports Fan & Broadcast Journalist • African Football • English Premier League • Liverpool FC ⚽️ •Team Mercedes F1 🏎,"Nairobi, Kenya 🇰🇪",10112,44905,2009-01-27 06:23:20
Red_Penguin11,@HarryMaguire93 you absolute knobhead!!😡🙈 #MUFC,2020-10-04 15:34:54,['MUFC'],0,0,• Teacher📖 • Hockey🏑 • Football⚽️,☀️DURBAN☀️,247,6122,2013-09-28 10:58:40
OjoAyokanmi1,"GOOOOAAALLLL

Mun 1 - 0 Tot

#MUNTOT",2020-10-04 15:34:54,['MUNTOT'],0,1,Information is life,Nigeria,56,348,2020-04-08 13:40:27
Naushad_77,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:34:54,[],23284,0,"Human Disaster






















































MUFC",,103,1024,2017-04-09 02:03:00
