username,text,tweetcreatedts,hashtags,acctdesc,location,followers,totaltweets,usercreatedts,retweetcount
Jay_Rock_Gh,"GOAL!

Chelsea 3-0 Crystal Palace (Jorginho (pen), 78')",2020-10-03 13:08:59,[],Manchester United ❤️,"Takoradi,Ghana.",2662,50020,2011-08-16 14:08:54,51
RichInWisdom,Crystal Palace only play like prime guardiola Barca against us and no one else I swear #mufc,2020-10-03 13:08:58,['mufc'],Down by the seaside.,"
",344,13990,2011-11-13 15:32:00,0
BardiTFC,Chelsea just turned up. Palace gave them 3 points.,2020-10-03 13:08:58,[],@theextrainch sidekick and part of @lovetheshirt. Become an xSub at https://t.co/UfqKZSVR8r for real football content,London,9322,23675,2009-09-29 16:36:32,1
PinchesAdam,"GOAL!

Chelsea 3-0 Crystal Palace (Jorginho (pen), 78')",2020-10-03 13:08:58,[],,,76,566,2018-12-27 09:45:35,51
TheSunFootball,GOAL! Jorginho makes no mistake. 3-0 https://t.co/cMN9Ockgh3,2020-10-03 13:08:58,[],"Breaking news, goals, live coverage and more. Give us a like on Facebook too: https://t.co/JcmSsjtOAm",,471292,253176,2009-02-12 16:21:06,1
brodarmalik,"3-0.

Crystal Palace is not for everyone.",2020-10-03 13:08:58,[],#CFC | #EndSARS,"Lagos, Nigeria",8375,45728,2018-10-04 20:06:43,1
jeff_mabz,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:08:58,[],Train your mind to see the positive in every situation #MUFC,"Nairobi, Kenya",1256,14101,2013-06-19 15:43:53,5571
LionEagleFam,From the first half my prediction of a draw for Chelsea and a possible win was on. This half they have turned it up but palace have let themselves down #PremierLeague,2020-10-03 13:08:58,['PremierLeague'],"Official page of the LionEagle Youtubers. Sport predictions, film theories and reviews. Instagram: LionEagleFamily",,3,87,2020-09-23 02:25:47,0
lorfadi,"Goal Update

Chelsea 3-0 Crystal Palace 77' Jorgihno (Penalty) #CHECRY",2020-10-03 13:08:57,['CHECRY'],"LORFADI



#kot loyal",Rhonda,4918,23243,2019-09-02 14:26:42,2
LeftySalami,"Crystal Palace have had 0 shots on target. 

Silva and Zouma is the way forward man.",2020-10-03 13:08:57,[],MD. 5% Mesatone. I identify as a poorly drawn cat.,,972,130329,2012-04-15 17:40:42,171
DreyDarey_,"@5ve_k_ New English Chelsea  vs Crystal Palace 
#CHECRY
#Livestream 
https://t.co/FZsLMDCzBN",2020-10-03 13:08:57,"['CHECRY', 'Livestream']","https://t.co/8OYdZTUsfq ||event photografa 📸📷🎬,||music enthusiasts 🎼🎧🎤🎙||cinematographer||🎤🎬📹 journalist📕✒💼 || Drey_photo_graphy IG","Lagos, Nigeria",3580,44811,2012-11-26 07:31:38,41
goal,"GOAL! Abraham wins a penalty and Jorginho puts it away!

Chelsea 3-0 Crystal Palace #CHECRY https://t.co/E0OOvPLQYP",2020-10-03 13:08:56,['CHECRY'],Sharing football’s passion ❤️ news 👇 insight 🤓 + fun 😂 with the world 🌎⚽️🌍,Everywhere,1680765,273096,2009-03-26 18:14:06,44
Realcoogi,"GOAL Chelsea 1-0 Crystal Palace (50 mins)

Ben Chilwell lashes the ball into the back of the net at the back post to give Chelsea the lead

#CHECRY",2020-10-03 13:08:56,[],"Simple||Industrious ||◆ I am a liver on creations, with Good intentions◆KING LION SOUNDS verified ★★★★","Nairobi, Kenya",12244,46106,2015-05-11 16:44:35,268
_phaya,"How Chelsea manage score 3

Crystal Palace dieer not not not",2020-10-03 13:08:56,[],"HSE Professional ⛑️
||Old Trafford favourite||Adisadel college made me||🎓Money is the trophy🏆||Rap music raised me 💪","Sekondi Takoradi, Ghana",960,48854,2010-01-19 23:57:46,0
