username,text,tweetcreatedts,hashtags,retweetcount,likecount,acctdesc,location,followers,totaltweets,usercreatedts
ManUtd,"Red card for Martial.

United down to ten men.

#MUFC #MUNTOT",2020-10-04 15:59:19,"['MUFC', 'MUNTOT']",948,7175,Official #MUFC account. @ManUtd_ES 🇪🇸 | @ManUtd_ID 🇮🇩 | @ManUtd_JP 🇯🇵 | @ManUtd_MY 🇲🇾 | @ManUtd_AR مانشستر يونايتد,"Manchester, England",23300094,61794,2012-04-20 15:17:43
Kyle2403,Wtf was that #MUNTOT,2020-10-04 15:59:19,['MUNTOT'],0,0,,Germany,534,4647,2012-03-17 15:58:53
nocontextkmantz,"Now Going Stay

Stay Match Manchester United Tottenham
Broadcast for cell
https://t.co/15cbO1TSQJ

Broadcast for laptop
https://t.co/15cbO1TSQJ

: #MUNTOT #MUFC

//

Ret Retweet + Like https://t.co/l3kS8qNScs",2020-10-04 15:59:19,[],3,0,,,3,327,2018-09-10 13:46:39
Cleybsonthefame,"Man Utd 1-2 Tottenham LIVE: Score and goal updates as ...

Manchester United v Tottenham: Premier League live 

Live STREAM 🖱
.
LINK 1 &gt;&gt;  https://t.co/waebxO56pz
.
.
LINK 2 &gt;&gt;  https://t.co/waebxO56pz

#MUFٍC #MUNٍTOT https://t.co/Fs9ddB0YGv",2020-10-04 15:59:19,"['MUFٍC', 'MUNٍTOT']",12,17,"Só conhecendo pra saber né,gatos e gatas fiquem a vontade...Bjs do Sr: the Fame
Recusa imitações s2",Recife - Pernambuco s2,51,311,2010-07-30 00:46:27
agostinhozinga,Luke Shaw can’t defend can’t attack literally useless #MUFC #MUNTOT,2020-10-04 15:59:19,"['MUFC', 'MUNTOT']",0,0,Techno. Whiskey. Coke.,"London, England",500,14089,2011-09-08 11:01:59
rhydoremmy23,Red card to Anthony Martial #MUNTOT,2020-10-04 15:59:19,['MUNTOT'],0,0,,"Lagos, Nigeria",810,65291,2013-05-07 00:01:07
MicahKellner,All these wasted chances will come back to bite Spurs.  Need that third goal.  #THFC #COYS #MUNTOT https://t.co/6BjE2Iwyif,2020-10-04 15:59:19,"['THFC', 'COYS', 'MUNTOT']",0,0,Always Tottenham Till I Die,Spursy,3229,54587,2009-07-09 00:35:39
EastStandGunner,Wtf is going on 😂😂😂 #MUNTOT,2020-10-04 15:59:19,['MUNTOT'],0,1,"ᴵᵐ ʳᵃᵖⁱᵈˡʸ ᶠᵃˡˡⁱⁿᵍ ᵒᵘᵗ ᵒᶠ ˡᵒᵛᵉ ʷⁱᵗʰ ᶠᵒᵒᵗᵇᵃˡˡ⚽️, ⁱ ʲᵘˢᵗ ʷᵒⁿᵈᵉʳ ʷʰᵃᵗˢ ᵗʰᵉ ᵖᵒⁱⁿᵗ ᵃⁿʸᵐᵒʳᵉ🤨",,2379,4284,2018-09-24 20:35:38
OG_TT_,Alex Telles to #mufc is a done deal. The clubs have reached an agreement for €20m. He will have his medical tonight #mulive [@SkySportNewsHD],2020-10-04 15:59:19,"['mufc', 'mulive']",2814,0,Did you do anything productive today?,,591,18195,2012-01-06 18:32:13
LarsOkker,"🎙 - 'Maguire and Bailly make a right mess of it between them!'

#MUFC's defenders will not want to see this again...😬

📺 Watch on Sky Sports PL
📱 Follow #MUNTOT here: https://t.co/YX6CxdoSMm
📲 Download the @SkySports app! https://t.co/adQulla9rT",2020-10-04 15:59:19,['MUFC'],68,0,,Erde,1940,159035,2015-03-19 00:55:33
abxreddy,WHAT THE FUCK IS HAPPENING!!!! #MUNTOT,2020-10-04 15:59:19,['MUNTOT'],0,0,"🚣 lost

● you can expect random replies to tweets. ●make me laugh once, I'll follow you. 'Don't forget to # it' 
🇮🇹 | 🇮🇳",still searching my safe place,372,25372,2011-05-23 20:29:05
lykh1,"This is an unusually entertaining, of the laughable sort, match between 2 supposedly top 6 sides. #MUNTOT",2020-10-04 15:59:19,['MUNTOT'],0,0,LFC fan. Like to rant and rave about the mighty reds during their matches. Danke herr Klopp for 5 magnificent years. Campiones 2019/20 ⚽🎊Ole Ole Ole ~,SG,82,1874,2011-04-27 02:59:48
Ri1wan,Eric bailey using his kidney to defend 😂😂😂 #MUNTOT,2020-10-04 15:59:18,['MUNTOT'],0,0,"Aries,love having fun but with cloths on most times,chelsea,music aficionado,spirited.the rest is inside me",mushin/Odi olowo,440,24236,2011-06-26 08:07:29
